"block","agegrp","sex","oud","counts"
"No_Treatment","98_99","Male","Active_Noninjection",23.2
"No_Treatment","98_99","Male","Active_Injection",7.6
"No_Treatment","98_99","Male","Nonactive_Noninjection",2.4
"No_Treatment","98_99","Male","Nonactive_Injection",0.8
"No_Treatment","98_99","Female","Active_Noninjection",56.8
"No_Treatment","98_99","Female","Active_Injection",18.8
"No_Treatment","98_99","Female","Nonactive_Noninjection",5.6
"No_Treatment","98_99","Female","Nonactive_Injection",2
"Buprenorphine","10_11","Male","Active_Noninjection",0
"Buprenorphine","10_11","Male","Active_Injection",0
"Buprenorphine","10_11","Male","Nonactive_Noninjection",0.4
"Buprenorphine","10_11","Male","Nonactive_Injection",0
"Buprenorphine","10_11","Female","Active_Noninjection",0
"Buprenorphine","10_11","Female","Active_Injection",0
"Buprenorphine","10_11","Female","Nonactive_Noninjection",0
"Buprenorphine","10_11","Female","Nonactive_Injection",0
"Buprenorphine","12_13","Male","Active_Noninjection",0
"Buprenorphine","12_13","Male","Active_Injection",0
"Buprenorphine","12_13","Male","Nonactive_Noninjection",0.4
"Buprenorphine","12_13","Male","Nonactive_Injection",0
"Buprenorphine","12_13","Female","Active_Noninjection",0
"Buprenorphine","12_13","Female","Active_Injection",0
"Buprenorphine","12_13","Female","Nonactive_Noninjection",0
"Buprenorphine","12_13","Female","Nonactive_Injection",0
"Buprenorphine","14_15","Male","Active_Noninjection",2.6
"Buprenorphine","14_15","Male","Active_Injection",0.8
"Buprenorphine","14_15","Male","Nonactive_Noninjection",7.6
"Buprenorphine","14_15","Male","Nonactive_Injection",2.6
"Buprenorphine","14_15","Female","Active_Noninjection",1.4
"Buprenorphine","14_15","Female","Active_Injection",0.6
"Buprenorphine","14_15","Female","Nonactive_Noninjection",4.4
"Buprenorphine","14_15","Female","Nonactive_Injection",1.4
"Buprenorphine","16_17","Male","Active_Noninjection",5.2
"Buprenorphine","16_17","Male","Active_Injection",1.6
"Buprenorphine","16_17","Male","Nonactive_Noninjection",14.8
"Buprenorphine","16_17","Male","Nonactive_Injection",5.2
"Buprenorphine","16_17","Female","Active_Noninjection",2.8
"Buprenorphine","16_17","Female","Active_Injection",1.2
"Buprenorphine","16_17","Female","Nonactive_Noninjection",8.8
"Buprenorphine","16_17","Female","Nonactive_Injection",2.8
"Buprenorphine","18_19","Male","Active_Noninjection",5.2
"Buprenorphine","18_19","Male","Active_Injection",1.6
"Buprenorphine","18_19","Male","Nonactive_Noninjection",14.8
