"block","agegrp","sex","oud","healthcare_utilization_cost_healthcare_system"
"Buprenorphine","24_25","Female","Active_Noninjection",204.5
"Buprenorphine","24_25","Female","Active_Injection",308.5
"Buprenorphine","24_25","Female","Nonactive_Noninjection",136.5
"Buprenorphine","24_25","Female","Nonactive_Injection",228.02
"Buprenorphine","26_27","Male","Active_Noninjection",247
"Buprenorphine","26_27","Male","Active_Injection",361
"Buprenorphine","26_27","Male","Nonactive_Noninjection",168
"Buprenorphine","26_27","Male","Nonactive_Injection",269.04
"Buprenorphine","26_27","Female","Active_Noninjection",247
"Buprenorphine","26_27","Female","Active_Injection",361
"Buprenorphine","26_27","Female","Nonactive_Noninjection",168
"Buprenorphine","26_27","Female","Nonactive_Injection",269.04
"Buprenorphine","28_29","Male","Active_Noninjection",247
"Buprenorphine","28_29","Male","Active_Injection",361
"Buprenorphine","28_29","Male","Nonactive_Noninjection",168
"Buprenorphine","28_29","Male","Nonactive_Injection",269.04
"Buprenorphine","28_29","Female","Active_Noninjection",247
"Buprenorphine","28_29","Female","Active_Injection",361
"Buprenorphine","28_29","Female","Nonactive_Noninjection",168
"Buprenorphine","28_29","Female","Nonactive_Injection",269.04
"Buprenorphine","30_31","Male","Active_Noninjection",247
"Buprenorphine","30_31","Male","Active_Injection",361
"Buprenorphine","30_31","Male","Nonactive_Noninjection",168
"Buprenorphine","30_31","Male","Nonactive_Injection",269.04
"Buprenorphine","30_31","Female","Active_Noninjection",247
"Buprenorphine","30_31","Female","Active_Injection",361
"Buprenorphine","30_31","Female","Nonactive_Noninjection",168
"Buprenorphine","30_31","Female","Nonactive_Injection",269.04
"Buprenorphine","32_33","Male","Active_Noninjection",247
"Buprenorphine","32_33","Male","Active_Injection",361
"Buprenorphine","32_33","Male","Nonactive_Noninjection",168
"Buprenorphine","32_33","Male","Nonactive_Injection",269.04
"Buprenorphine","32_33","Female","Active_Noninjection",247
"Buprenorphine","32_33","Female","Active_Injection",361
"Buprenorphine","32_33","Female","Nonactive_Noninjection",168
"Buprenorphine","32_33","Female","Nonactive_Injection",269.04
"Buprenorphine","34_35","Male","Active_Noninjection",247
"Buprenorphine","34_35","Male","Active_Injection",361
"Buprenorphine","34_35","Male","Nonactive_Noninjection",168
"Buprenorphine","34_35","Male","Nonactive_Injection",269.04
"Buprenorphine","34_35","Female","Active_Noninjection",247
"Buprenorphine","34_35","Female","Active_Injection",361
"Buprenorphine","34_35","Female","Nonactive_Noninjection",168
"Buprenorphine","34_35","Female","Nonactive_Injection",269.04
"Buprenorphine","36_37","Male","Active_Noninjection",247
"Buprenorphine","36_37","Male","Active_Injection",361
"Buprenorphine","36_37","Male","Nonactive_Noninjection",168
"Buprenorphine","36_37","Male","Nonactive_Injection",269.04
"Buprenorphine","36_37","Female","Active_Noninjection",247
"Buprenorphine","36_37","Female","Active_Injection",361
"Buprenorphine","36_37","Female","Nonactive_Noninjection",168
"Buprenorphine","36_37","Female","Nonactive_Injection",269.04
"Buprenorphine","38_39","Male","Active_Noninjection",247
"Buprenorphine","38_39","Male","Active_Injection",361
"Buprenorphine","38_39","Male","Nonactive_Noninjection",168
"Buprenorphine","38_39","Male","Nonactive_Injection",269.04
"Buprenorphine","38_39","Female","Active_Noninjection",247
"Buprenorphine","38_39","Female","Active_Injection",361
"Buprenorphine","38_39","Female","Nonactive_Noninjection",168
"Buprenorphine","38_39","Female","Nonactive_Injection",269.04
"Buprenorphine","40_41","Male","Active_Noninjection",247
"Buprenorphine","40_41","Male","Active_Injection",361
"Buprenorphine","40_41","Male","Nonactive_Noninjection",168
"Buprenorphine","40_41","Male","Nonactive_Injection",269.04
"Buprenorphine","40_41","Female","Active_Noninjection",247
"Buprenorphine","40_41","Female","Active_Injection",361
"Buprenorphine","40_41","Female","Nonactive_Noninjection",168
"Buprenorphine","40_41","Female","Nonactive_Injection",269.04
"Buprenorphine","42_43","Male","Active_Noninjection",247
"Buprenorphine","42_43","Male","Active_Injection",361
"Buprenorphine","42_43","Male","Nonactive_Noninjection",168
"Buprenorphine","42_43","Male","Nonactive_Injection",269.04
"Buprenorphine","42_43","Female","Active_Noninjection",247
"Buprenorphine","42_43","Female","Active_Injection",361
