"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"22_23","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"22_23","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"22_23","Female","Active_Noninjection","No_Treatment",0.983163077862349,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00846138868435883,0,0.981261071815524,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.0103633947311832,0,0.982952598948834,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00867186759787365,0
"22_23","Female","Active_Injection","No_Treatment",0.983163077862349,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00846138868435883,0,0.981261071815524,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.0103633947311832,0,0.982952598948834,0.00570666128055841,0.00104866761918199,0.00162020455355205,0.00867186759787365,0
"22_23","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"22_23","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"24_25","Male","Active_Noninjection","No_Treatment",0.982941782605077,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.00922475742700453,0,0.980868181561423,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.0112983584706588,0,0.982712314725382,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.00945422530669936,0
"24_25","Male","Active_Injection","No_Treatment",0.982941782605077,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.00922475742700453,0,0.980868181561423,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.0112983584706588,0,0.982712314725382,0.0056525908655164,0.000916606677409613,0.00126426242499239,0.00945422530669936,0
"24_25","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"24_25","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
